         40509565 function calls (40497793 primitive calls) in 14.418 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2702    0.002    0.000    0.011    0.000 transforms.py:87(__init__)
        1    0.000    0.000    0.011    0.011 backend_bases.py:33(<module>)
    58/10    0.000    0.000    0.011    0.001 pyparsing.py:3266(leaveWhitespace)
   121/59    0.008    0.000    0.011    0.000 pyparsing.py:3341(copy)
        1    0.000    0.000    0.010    0.010 utils.py:4(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:43(<module>)
      349    0.001    0.000    0.010    0.000 transforms.py:1972(scale)
   121/59    0.000    0.000    0.010    0.000 pyparsing.py:3343(<listcomp>)
       39    0.000    0.000    0.010    0.000 _base.py:2025(in_axes)
       39    0.000    0.000    0.010    0.000 patches.py:170(contains)
      576    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
       58    0.000    0.000    0.010    0.000 pyparsing.py:3270(<listcomp>)
      186    0.000    0.000    0.010    0.000 markers.py:163(__init__)
       38    0.000    0.000    0.010    0.000 backend_bases.py:1457(<listcomp>)
      330    0.000    0.000    0.010    0.000 markers.py:223(set_fillstyle)
  589/115    0.002    0.000    0.010    0.000 sre_compile.py:64(_compile)
       23    0.000    0.000    0.009    0.000 axis.py:249(draw)
        1    0.000    0.000    0.009    0.009 misc.py:1(<module>)
        1    0.000    0.000    0.009    0.009 pilutil.py:7(<module>)
     1972    0.001    0.000    0.009    0.000 transforms.py:1662(__init__)
        1    0.000    0.000    0.009    0.009 parser.py:5(<module>)
       74    0.000    0.000    0.009    0.000 patches.py:216(get_transform)
        1    0.000    0.000    0.009    0.009 transforms.py:30(<module>)
        1    0.000    0.000    0.009    0.009 _root.py:7(<module>)
     2705    0.006    0.000    0.009    0.000 weakref.py:102(__init__)
      988    0.001    0.000    0.008    0.000 transforms.py:1808(__init__)
        1    0.000    0.000    0.008    0.008 _discrete_distns.py:5(<module>)
      759    0.001    0.000    0.008    0.000 path.py:103(__init__)
        4    0.000    0.000    0.008    0.002 axis.py:1067(_get_tick_bboxes)
        1    0.000    0.000    0.008    0.008 feedparser.py:20(<module>)
       23    0.000    0.000    0.008    0.000 text.py:932(get_window_extent)
       13    0.000    0.000    0.008    0.001 _distn_infrastructure.py:2663(__init__)
     1021    0.008    0.000    0.008    0.000 {built-in method numpy.core.multiarray.dot}
       62    0.000    0.000    0.008    0.000 patches.py:720(get_patch_transform)
       62    0.001    0.000    0.008    0.000 patches.py:704(_update_patch_transform)
        1    0.000    0.000    0.008    0.008 lapack.py:410(<module>)
